Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),year,month,trip_date,trip_day_of_week
4/28/2019,41204,68976,307862,3338,87,2019,4,28,Sunday
4/29/2019,60801,98707,308020,2829,104,2019,4,29,Monday
4/30/2019,62668,99225,308192,2715,94,2019,4,30,Tuesday
5/1/2019,60904,93434,308383,2285,106,2019,5,1,Wednesday
5/2/2019,68714,115573,308575,3763,171,2019,5,2,Thursday
5/3/2019,62410,100885,308738,3452,151,2019,5,3,Friday
5/4/2019,56025,114113,308919,7286,110,2019,5,4,Saturday
5/5/2019,16169,25232,308988,802,16,2019,5,5,Sunday
5/6/2019,69920,121887,309187,4178,166,2019,5,6,Monday
5/7/2019,72829,126637,309356,4055,124,2019,5,7,Tuesday
5/8/2019,76398,130821,309530,4255,131,2019,5,8,Wednesday
5/9/2019,66689,105721,309646,2851,130,2019,5,9,Thursday
5/10/2019,68044,114830,309790,4427,163,2019,5,10,Friday
5/11/2019,69788,153674,310021,10581,133,2019,5,11,Saturday
5/12/2019,10730,15759,310063,475,9,2019,5,12,Sunday
5/13/2019,22300,29434,310141,553,19,2019,5,13,Monday
5/14/2019,42783,61756,310248,1301,73,2019,5,14,Tuesday
5/15/2019,74314,129217,310395,4484,140,2019,5,15,Wednesday
5/16/2019,77889,139278,310590,5354,174,2019,5,16,Thursday
5/17/2019,72118,126992,310760,5124,167,2019,5,17,Friday
5/18/2019,73143,162302,310992,11292,227,2019,5,18,Saturday
5/19/2019,69920,154638,311245,10321,193,2019,5,19,Sunday
5/20/2019,74494,133696,311495,5225,173,2019,5,20,Monday
5/21/2019,79261,139284,311686,5088,160,2019,5,21,Tuesday
5/22/2019,82021,144186,311888,5431,153,2019,5,22,Wednesday
5/23/2019,56578,93244,312082,3527,121,2019,5,23,Thursday
5/24/2019,74866,141169,312276,7322,245,2019,5,24,Friday
5/25/2019,59492,136772,312484,10682,279,2019,5,25,Saturday
5/26/2019,49950,118192,312648,9325,145,2019,5,26,Sunday
5/27/2019,66595,160750,312896,12124,136,2019,5,27,Monday
5/28/2019,59435,97330,313092,2992,96,2019,5,28,Tuesday
5/29/2019,55098,87647,313251,2952,111,2019,5,29,Wednesday
5/30/2019,52484,84325,313402,2831,129,2019,5,30,Thursday
5/31/2019,83347,156832,313606,7586,261,2019,5,31,Friday
6/1/2019,76416,164956,313815,12153,214,2019,6,1,Saturday
6/2/2019,67288,147247,314051,10419,144,2019,6,2,Sunday
6/3/2019,77678,141960,314327,6027,152,2019,6,3,Monday
6/4/2019,83301,150076,314642,6422,168,2019,6,4,Tuesday
6/5/2019,78791,134998,314889,5166,143,2019,6,5,Wednesday
6/6/2019,81323,143619,315121,6138,183,2019,6,6,Thursday
6/7/2019,82908,150312,315337,7530,256,2019,6,7,Friday
6/8/2019,78074,175352,315583,13831,206,2019,6,8,Saturday
6/9/2019,73954,167597,315861,12833,121,2019,6,9,Sunday
6/10/2019,37019,54769,316007,1566,44,2019,6,10,Monday
